"ID","east","north","price","fl_area"
"1",523800,179700,107000,50
"2",533200,170900,55500,66
"3",514600,175800,103000,90
"4",516000,171000,187000,125
"5",533700,169200,43000,50
"6",547900,189600,69995,95
"7",531900,189900,80000,79
"8",514600,190300,57500,44
"9",525700,172900,104000,68
"10",536700,188100,69000,87
"11",529000,171300,88000,76
"12",523900,191200,123000,107
"13",546800,169600,83000,92
"14",547100,187600,52995,53
"15",531900,185800,255000,146
"16",528700,173400,185000,125
"17",529200,164400,152000,157
"18",525000,190200,85000,79
"19",514600,189300,120000,108
"20",524200,174600,135000,91
"21",516300,176700,143000,100
"22",505100,183400,59950,39
"23",523800,184600,285000,198
"24",526400,177100,272500,155
"25",532800,167200,73950,87
"26",533700,166500,67500,59
"27",514200,172200,174000,114
"28",541200,178200,65000,92
"29",538400,191500,50300,61
"30",539900,190200,63200,62
"31",537400,176000,45000,63
"32",539500,190700,79500,75
"33",536600,167200,92000,112
"34",552000,188500,85000,105
"35",537000,169900,83995,57
"36",506300,181100,53000,45
"37",505300,183000,77000,82
"38",549300,185200,55000,92
"39",549800,189700,77500,87
"40",549700,176700,133000,120
"41",537300,167900,94000,87
"42",525100,172900,204000,90
"43",513300,185200,47500,63
"44",526000,163700,56500,55
"45",533000,163400,142500,115
"46",526300,181000,170000,62
"47",537200,189900,67000,75
"48",523200,173600,238000,120
"49",528900,172600,124250,84
"50",545800,186100,155000,109
"51",527300,171400,68000,55
"52",522200,183100,90000,90
"53",536600,180700,229995,80
"54",544200,190900,115000,147
"55",544000,178500,42000,75
"56",530300,186900,210000,106
"57",526400,188900,107500,72
"58",524300,186600,235000,200
"59",520700,193400,64500,73
"60",541600,178200,85000,112
"61",529700,179000,175000,75
"62",530800,174900,106000,63
"63",548900,188200,49000,64
"64",525300,191100,165000,120
"65",525000,185000,315000,130
"66",511600,187500,122000,105
"67",537900,162500,52000,70
"68",531100,178300,127000,61
"69",518000,181500,499950,269
"70",553300,189700,122000,102
"71",521500,190200,85500,94
"72",525200,174100,95000,53
"73",542300,189600,61500,62
"74",514200,183800,69950,54
"75",509800,177100,79950,65
"76",530700,192200,97000,74
"77",532300,189700,100000,93
"78",525900,170300,165750,85
"79",549100,185200,55000,78
"80",509600,177000,78750,61
"81",520200,180000,132500,92
"82",534300,180600,195000,125
"83",522800,179200,250000,97
"84",539000,192900,110000,120
"85",516400,180200,120000,79
"86",534100,182400,120000,62
"87",519900,177900,180000,85
"88",512200,175400,72500,73
"89",514700,172900,162500,104
"90",515100,181800,131000,105
"91",530200,171600,75000,67
"92",536000,169300,88000,64
"93",530500,173200,54000,89
"94",507600,185500,120500,91
"95",515800,176100,174500,131
"96",534700,191800,128000,134
"97",518900,185800,63000,60
"98",537300,174800,87000,115
"99",555700,186500,59000,61
"100",524100,196700,157000,140
"101",533100,171700,730000,228
"102",505500,191400,105000,97
"103",532200,193000,153500,132
"104",530800,173600,128000,115
"105",545500,171800,108500,103
"106",527000,185800,550000,200
"107",531100,174700,93300,102
"108",525000,181200,695000,190
"109",533900,161600,148000,135
"110",542000,183300,69950,76
"111",540700,172500,139950,114
"112",534100,167100,93000,117
"113",538400,185800,84500,103
"114",541000,185800,69500,85
"115",526700,190100,51500,50
"116",515700,170900,150000,80
"117",509200,181800,149000,110
"118",537400,180700,110000,75
"119",523900,169400,79000,60
"120",530500,177900,110000,83
"121",536700,177000,36500,44
"122",537500,175800,64000,72
"123",529700,172000,310000,218
"124",535300,173600,63500,77
"125",523300,188700,250000,130
"126",526000,173400,90000,51
"127",527700,168200,157500,136
"128",514400,175000,107000,97
"129",517000,192300,356750,250
"130",526800,177500,272000,123
"131",542700,185300,49000,66
"132",540600,190300,71995,72
"133",537600,181400,71500,90
"134",549700,173300,93750,89
"135",530800,173900,130000,128
"136",529800,188300,109000,94
"137",528300,173600,82000,42
"138",529400,181500,155000,53
"139",523200,179500,85000,40
"140",514700,184700,120000,82
"141",523000,179300,170000,60
"142",523900,182900,65000,66
"143",522900,189500,225000,92
"144",525400,172000,218000,130
"145",529500,170100,88000,91
"146",531500,185500,179500,92
"147",531500,193500,170000,137
"148",515300,181600,84000,79
"149",526000,184200,225000,120
"150",543200,186800,49000,44
"151",523800,175000,100000,45
"152",510200,180300,88300,71
"153",533700,195700,98000,77
"154",512700,170000,167500,105
"155",534400,185200,74000,68
"156",514200,187900,124950,104
"157",534900,197400,88500,90
"158",518500,165100,75000,48
"159",523800,169900,132500,77
"160",515400,188000,59500,45
"161",529100,181700,124000,43
"162",525400,181300,182500,61
"163",547100,165700,60000,107
"164",519700,178000,87500,55
"165",524800,184700,122000,93
"166",531400,192900,68500,66
"167",528500,172800,153000,94
"168",531800,174300,82000,94
"169",539400,174700,153000,82
"170",514900,173300,139000,90
"171",519700,169000,90000,82
"172",540600,183100,75000,86
"173",523500,180100,118000,57
"174",539800,172200,63000,80
"175",530900,183400,92500,55
"176",517100,170100,150000,107
"177",528500,175900,138000,93
"178",530200,187400,237000,168
"179",530700,189200,79950,63
"180",524000,179100,122500,55
"181",517100,183900,100000,80
"182",533500,165900,92000,117
"183",523000,180100,310000,221
"184",515000,188400,104950,132
"185",524200,176800,225000,88
"186",528100,175300,169000,89
"187",540900,172100,60000,44
"188",541300,184700,59000,83
"189",535300,179900,103000,55
"190",518100,166600,92500,69
"191",544300,188500,93000,95
"192",525100,171600,245000,136
"193",530200,173000,99950,74
"194",517100,186600,131000,110
"195",539000,173600,57000,68
"196",526300,163400,86000,89
"197",517400,174300,95500,60
"198",528500,170500,58500,56
"199",517200,181800,104500,91
"200",517500,169900,92000,50
"201",535200,181100,49000,68
"202",528000,173100,440000,200
"203",529400,185400,142250,85
"204",538700,191900,125000,96
"205",545300,187400,64750,71
"206",522900,179600,165000,100
"207",513400,188000,175000,118
"208",513700,183000,77000,65
"209",539700,170000,69950,70
"210",533700,170300,55000,54
"211",552800,189100,163000,202
"212",529900,176100,120000,80
"213",523100,182800,83000,62
"214",531100,187100,67000,45
"215",518600,175100,215000,78
"216",534000,175600,102500,124
"217",528000,164400,60000,62
"218",540000,186000,71500,118
"219",523900,173900,50000,42
"220",523600,190200,475000,250
"221",524300,177600,186000,83
"222",526100,179100,370000,100
"223",527000,193400,267500,125
"224",533400,164200,181500,153
"225",539900,184400,32500,47
"226",511200,177300,82500,72
"227",542900,182100,79000,108
"228",531800,188300,70000,120
